"","client","country","location","keyword","category","tracking","frequency"
"1",53,"AU","Canberra","intertops","brand",1,"daily"
"2",53,"CA","Ottawa","sports betting","Betting",1,"daily"
"3",53,"US","Washington DC","3d roulette","Casino",1,"12hourly"
"4",53,"US","Washington DC","40 ball bingo","Bingo",1,"12hourly"
"5",53,"US","Washington DC","50 ball bingo","Bingo",1,"12hourly"
"6",53,"US","Washington DC","75 ball bingo","Bingo",1,"12hourly"
"7",53,"US","Washington DC","90 ball bingo","Bingo",1,"12hourly"
"8",53,"US","Washington DC","abc nfl picks","Betting",1,"12hourly"
"9",53,"US","Washington DC","against the spread nfl picks","Betting",1,"12hourly"
"10",53,"US","Washington DC","alabama football spread","Betting",1,"12hourly"
"11",53,"US","Washington DC","alice's wonderland slots","Casino",1,"12hourly"
"12",53,"US","Washington DC","all slots uk site","Casino",1,"12hourly"
"13",53,"US","Washington DC","american football betting tips","Betting",1,"12hourly"
"14",53,"US","Washington DC","american football tips","Betting",1,"12hourly"
"15",53,"US","Washington DC","army navy spread","Betting",1,"12hourly"
"16",53,"US","Washington DC","ats betting","Betting",1,"12hourly"
"17",53,"US","Washington DC","ats nba picks","Betting",1,"12hourly"
"18",53,"US","Washington DC","ats nfl picks","Betting",1,"12hourly"
"19",53,"US","Washington DC","ats nhl picks","Betting",1,"12hourly"
"20",53,"US","Washington DC","best bets nba","Betting",1,"12hourly"
"21",53,"US","Washington DC","best bets nfl","Betting",1,"12hourly"
"22",53,"US","Washington DC","best bets nhl","Betting",1,"12hourly"
"23",53,"US","Washington DC","best casino uk","Casino",1,"12hourly"
"24",53,"US","Washington DC","best casino welcome bonus","Casino",1,"12hourly"
"25",53,"US","Washington DC","best football picks","Betting",1,"12hourly"
"26",53,"US","Washington DC","best nba picks","Betting",1,"12hourly"
"27",53,"US","Washington DC","best nba picks against the spread","Betting",1,"12hourly"
"28",53,"US","Washington DC","best nba picks this week","Betting",1,"12hourly"
"29",53,"US","Washington DC","best nfl picks","Betting",1,"12hourly"
"30",53,"US","Washington DC","best nfl picks against the spread","Betting",1,"12hourly"
"31",53,"US","Washington DC","best nfl picks this week","Betting",1,"12hourly"
"32",53,"US","Washington DC","best nhl picks","Betting",1,"12hourly"
"33",53,"US","Washington DC","best nhl picks against the spread","Betting",1,"12hourly"
"34",53,"US","Washington DC","best nhl picks this week","Betting",1,"12hourly"
"35",53,"US","Washington DC","best online bingo","Bingo",1,"12hourly"
"36",53,"US","Washington DC","best online casino uk","Casino",1,"12hourly"
"37",53,"US","Washington DC","best online casino welcome bonus","Casino",1,"12hourly"
"38",53,"US","Washington DC","best online poker","Poker",1,"12hourly"
"39",53,"US","Washington DC","best online slots uk","Casino",1,"12hourly"
"40",53,"US","Washington DC","bet in play","Bingo",1,"12hourly"
"41",53,"US","Washington DC","bet odds","Betting",1,"12hourly"
"42",53,"US","Washington DC","bet online casino","Casino",1,"12hourly"
"43",53,"US","Washington DC","betting lines college football","Betting",1,"12hourly"
"44",53,"US","Washington DC","betting odds","Betting",1,"12hourly"
"45",53,"US","Washington DC","betting odds ncaa football","Betting",1,"12hourly"
"46",53,"US","Washington DC","betting trends nfl","Betting",1,"12hourly"
"47",53,"US","Washington DC","bingo","Bingo",1,"12hourly"
"48",53,"US","Washington DC","bingo app","Bingo",1,"12hourly"
"49",53,"US","Washington DC","bingo app for tablet","Bingo",1,"12hourly"
"50",53,"US","Washington DC","bingo bonus","Bingo",1,"12hourly"
"51",53,"US","Washington DC","bingo bonus code","Bingo",1,"12hourly"
"52",53,"US","Washington DC","bingo bonuses","Bingo",1,"12hourly"
"53",53,"US","Washington DC","bingo club finder","Bingo",1,"12hourly"
"54",53,"US","Washington DC","bingo clubs","Bingo",1,"12hourly"
"55",53,"US","Washington DC","bingo codes","Bingo",1,"12hourly"
"56",53,"US","Washington DC","bingo community","Bingo",1,"12hourly"
"57",53,"US","Washington DC","bingo existing customer","Bingo",1,"12hourly"
"58",53,"US","Washington DC","bingo finder","Bingo",1,"12hourly"
"59",53,"US","Washington DC","bingo for ipad","Bingo",1,"12hourly"
"60",53,"US","Washington DC","bingo games","Bingo",1,"12hourly"
"61",53,"US","Washington DC","bingo games online","Bingo",1,"12hourly"
"62",53,"US","Washington DC","bingo halls near me","Bingo",1,"12hourly"
"63",53,"US","Washington DC","bingo jackpots","Bingo",1,"12hourly"
"64",53,"US","Washington DC","bingo lingo","Bingo",1,"12hourly"
"65",53,"US","Washington DC","bingo log in","Bingo",1,"12hourly"
"66",53,"US","Washington DC","bingo login","Bingo",1,"12hourly"
"67",53,"US","Washington DC","bingo lotto","Bingo",1,"12hourly"
"68",53,"US","Washington DC","bingo member login","Bingo",1,"12hourly"
"69",53,"US","Washington DC","bingo mobile","Bingo",1,"12hourly"
"70",53,"US","Washington DC","bingo network","Bingo",1,"12hourly"
"71",53,"US","Washington DC","bingo newbie room","Bingo",1,"12hourly"
"72",53,"US","Washington DC","bingo on line","Bingo",1,"12hourly"
"73",53,"US","Washington DC","bingo online","Bingo",1,"12hourly"
"74",53,"US","Washington DC","bingo online uk","Bingo",1,"12hourly"
"75",53,"US","Washington DC","bingo play","Bingo",1,"12hourly"
"76",53,"US","Washington DC","bingo prices","Bingo",1,"12hourly"
"77",53,"US","Washington DC","bingo promo code","Bingo",1,"12hourly"
"78",53,"US","Washington DC","bingo promotion","Bingo",1,"12hourly"
"79",53,"US","Washington DC","bingo promotions","Bingo",1,"12hourly"
"80",53,"US","Washington DC","bingo room","Bingo",1,"12hourly"
"81",53,"US","Washington DC","bingo rooms online","Bingo",1,"12hourly"
"82",53,"US","Washington DC","bingo sign in","Bingo",1,"12hourly"
"83",53,"US","Washington DC","bingo sites","Bingo",1,"12hourly"
"84",53,"US","Washington DC","bingo slots","Bingo",1,"12hourly"
"85",53,"US","Washington DC","bingo specials","Bingo",1,"12hourly"
"86",53,"US","Washington DC","bingo times","Bingo",1,"12hourly"
"87",53,"US","Washington DC","bingo uk","Bingo",1,"12hourly"
"88",53,"US","Washington DC","bingo welcome bonus","Bingo",1,"12hourly"
