"","client","country","location","keyword","category","tracking","frequency"
"1",54,"CA","Toronto","3d roulette","Casino",1,"12hourly"
"2",54,"CA","Toronto","40 ball bingo","Bingo",1,"12hourly"
"3",54,"CA","Toronto","50 ball bingo","Bingo",1,"12hourly"
"4",54,"CA","Toronto","75 ball bingo","Bingo",1,"12hourly"
"5",54,"CA","Toronto","90 ball bingo","Bingo",1,"12hourly"
"6",54,"CA","Toronto","abc nfl picks","Betting",1,"12hourly"
"7",54,"CA","Toronto","against the spread nfl picks","Betting",1,"12hourly"
"8",54,"CA","Toronto","alabama football spread","Betting",1,"12hourly"
"9",54,"CA","Toronto","alice's wonderland slots","Casino",0,"12hourly"
"10",54,"CA","Toronto","all slots uk site","Casino",1,"12hourly"
"11",54,"CA","Toronto","american football betting tips","Betting",1,"12hourly"
"12",54,"CA","Toronto","american football tips","Betting",1,"12hourly"
"13",54,"CA","Toronto","army navy spread","Betting",1,"12hourly"
"14",54,"CA","Toronto","ats betting","Betting",1,"12hourly"
"15",54,"CA","Toronto","ats nba picks","Betting",1,"12hourly"
"16",54,"CA","Toronto","ats nfl picks","Betting",1,"12hourly"
"17",54,"CA","Toronto","ats nhl picks","Betting",1,"12hourly"
"18",54,"CA","Toronto","best bets nba","Betting",1,"12hourly"
"19",54,"CA","Toronto","best bets nfl","Betting",1,"12hourly"
"20",54,"CA","Toronto","best bets nhl","Betting",1,"12hourly"
"21",54,"CA","Toronto","best casino uk","Casino",1,"12hourly"
"22",54,"CA","Toronto","best casino welcome bonus","Casino",1,"12hourly"
"23",54,"CA","Toronto","best football picks","Betting",1,"12hourly"
"24",54,"CA","Toronto","best nba picks","Betting",1,"12hourly"
"25",54,"CA","Toronto","best nba picks against the spread","Betting",1,"12hourly"
"26",54,"CA","Toronto","best nba picks this week","Betting",1,"12hourly"
"27",54,"CA","Toronto","best nfl picks","Betting",1,"12hourly"
"28",54,"CA","Toronto","best nfl picks against the spread","Betting",1,"12hourly"
"29",54,"CA","Toronto","best nfl picks this week","Betting",1,"12hourly"
"30",54,"CA","Toronto","best nhl picks","Betting",1,"12hourly"
"31",54,"CA","Toronto","best nhl picks against the spread","Betting",1,"12hourly"
"32",54,"CA","Toronto","best nhl picks this week","Betting",1,"12hourly"
"33",54,"CA","Toronto","best online bingo","Bingo",1,"12hourly"
"34",54,"CA","Toronto","best online casino uk","Casino",1,"12hourly"
"35",54,"CA","Toronto","best online casino welcome bonus","Casino",1,"12hourly"
"36",54,"CA","Toronto","best online poker","Poker",1,"12hourly"
"37",54,"CA","Toronto","best online slots uk","Casino",1,"12hourly"
"38",54,"CA","Toronto","bet in play","Bingo",1,"12hourly"
"39",54,"CA","Toronto","bet odds","Betting",1,"12hourly"
"40",54,"CA","Ottawa","bet online","Betting",1,"daily"
"41",54,"CA","Toronto","bet online casino","Casino",1,"12hourly"
"42",54,"CA","Ottawa","betting","Betting",1,"daily"
"43",54,"CA","Toronto","betting lines college football","Betting",1,"12hourly"
"44",54,"CA","Toronto","betting odds","Betting",1,"12hourly"
"45",54,"CA","Toronto","betting odds ncaa football","Betting",1,"12hourly"
"46",54,"CA","Ottawa","betting online","Betting",1,"daily"
"47",54,"CA","Toronto","betting trends nfl","Betting",1,"12hourly"
"48",54,"CA","Toronto","bingo","Bingo",1,"12hourly"
"49",54,"CA","Toronto","bingo app","Bingo",1,"12hourly"
"50",54,"CA","Toronto","bingo app for tablet","Bingo",1,"12hourly"
"51",54,"CA","Toronto","bingo bonus","Bingo",1,"12hourly"
"52",54,"CA","Toronto","bingo bonus code","Bingo",1,"12hourly"
"53",54,"CA","Toronto","bingo bonuses","Bingo",1,"12hourly"
"54",54,"CA","Toronto","bingo club finder","Bingo",1,"12hourly"
"55",54,"CA","Toronto","bingo clubs","Bingo",1,"12hourly"
"56",54,"CA","Toronto","bingo codes","Bingo",1,"12hourly"
"57",54,"CA","Toronto","bingo community","Bingo",1,"12hourly"
"58",54,"CA","Toronto","bingo existing customer","Bingo",1,"12hourly"
"59",54,"CA","Toronto","bingo finder","Bingo",1,"12hourly"
"60",54,"CA","Toronto","bingo for ipad","Bingo",1,"12hourly"
"61",54,"CA","Toronto","bingo games","Bingo",1,"12hourly"
"62",54,"CA","Toronto","bingo games online","Bingo",1,"12hourly"
"63",54,"CA","Toronto","bingo halls near me","Bingo",1,"12hourly"
"64",54,"CA","Toronto","bingo jackpots","Bingo",1,"12hourly"
"65",54,"CA","Toronto","bingo lingo","Bingo",1,"12hourly"
"66",54,"CA","Toronto","bingo log in","Bingo",1,"12hourly"
"67",54,"CA","Toronto","bingo login","Bingo",1,"12hourly"
"68",54,"CA","Toronto","bingo lotto","Bingo",1,"12hourly"
"69",54,"CA","Toronto","bingo member login","Bingo",1,"12hourly"
"70",54,"CA","Toronto","bingo mobile","Bingo",1,"12hourly"
"71",54,"CA","Toronto","bingo network","Bingo",1,"12hourly"
"72",54,"CA","Toronto","bingo newbie room","Bingo",1,"12hourly"
"73",54,"CA","Toronto","bingo on line","Bingo",1,"12hourly"
"74",54,"CA","Toronto","bingo online","Bingo",1,"12hourly"
"75",54,"CA","Toronto","bingo online uk","Bingo",1,"12hourly"
"76",54,"CA","Toronto","bingo play","Bingo",1,"12hourly"
"77",54,"CA","Toronto","bingo prices","Bingo",1,"12hourly"
"78",54,"CA","Toronto","bingo promo code","Bingo",1,"12hourly"
"79",54,"CA","Toronto","bingo promotion","Bingo",1,"12hourly"
"80",54,"CA","Toronto","bingo promotions","Bingo",1,"12hourly"
"81",54,"CA","Toronto","bingo room","Bingo",1,"12hourly"
"82",54,"CA","Toronto","bingo rooms online","Bingo",1,"12hourly"
"83",54,"CA","Toronto","bingo sign in","Bingo",1,"12hourly"
"84",54,"CA","Toronto","bingo sites","Bingo",1,"12hourly"
"85",54,"CA","Toronto","bingo slots","Bingo",1,"12hourly"
"86",54,"CA","Toronto","bingo specials","Bingo",1,"12hourly"
"87",54,"CA","Toronto","bingo times","Bingo",1,"12hourly"
"88",54,"CA","Toronto","bingo uk","Bingo",1,"12hourly"
"89",54,"CA","Toronto","bingo welcome bonus","Bingo",1,"12hourly"
"90",54,"CA","Toronto","bingo winners","Bingo",1,"12hourly"
"91",54,"CA","Toronto","black jack","Casino",1,"12hourly"
"92",54,"CA","Toronto","black jack online","Casino",1,"12hourly"
"93",54,"CA","Toronto","blackjack","Casino",1,"12hourly"
"94",54,"CA","Toronto","blackjack bonus","Casino",1,"12hourly"
"95",54,"CA","Toronto","blackjack casino","Casino",1,"12hourly"
"96",54,"CA","Toronto","blackjack free online","Casino",1,"12hourly"
"97",54,"CA","Toronto","blackjack online","Casino",1,"12hourly"
"98",54,"CA","Toronto","blackjack online free","Casino",1,"12hourly"
"99",54,"CA","Toronto","bonus casino offer online","Casino",1,"12hourly"
"100",54,"CA","Toronto","bonus casino sign up","Casino",1,"12hourly"
"101",54,"CA","Toronto","bonus casino slots","Casino",1,"12hourly"
"102",54,"CA","Toronto","bonus casino uk","Casino",1,"12hourly"
"103",54,"CA","Toronto","bookies denver","Betting",1,"12hourly"
"104",54,"CA","Toronto","bovada sports bet","Betting",1,"12hourly"
"105",54,"CA","Toronto","bovada sports lines","Betting",1,"12hourly"
"106",54,"CA","Toronto","bowl game lines","Betting",1,"12hourly"
"107",54,"CA","Toronto","bowl picks against the spread","Betting",1,"12hourly"
"108",54,"CA","Toronto","bowl spreads","Betting",1,"12hourly"
"109",54,"CA","Toronto","broncos spread","Betting",1,"12hourly"
"110",54,"CA","Toronto","casino","Casino",1,"12hourly"
"111",54,"CA","Toronto","casino and slots","Casino",1,"12hourly"
"112",54,"CA","Toronto","casino bonus","Casino",1,"12hourly"
"113",54,"CA","Toronto","casino bonus cash","Casino",1,"12hourly"
"114",54,"CA","Toronto","casino bonus offers","Casino",1,"12hourly"
"115",54,"CA","Toronto","casino bonus sign up","Casino",1,"12hourly"
"116",54,"CA","Toronto","casino bonus uk","Casino",1,"12hourly"
"117",54,"CA","Toronto","casino bonuses slots","Casino",1,"12hourly"
"118",54,"CA","Toronto","casino bonuses uk","Casino",1,"12hourly"
"119",54,"CA","Toronto","casino cash back","Casino",1,"12hourly"
"120",54,"CA","Toronto","casino cashback","Casino",1,"12hourly"
"121",54,"CA","Toronto","casino deposit bonus","Casino",1,"12hourly"
"122",54,"CA","Toronto","casino download","Casino",1,"12hourly"
"123",54,"CA","Toronto","casino download gambling","Casino",1,"12hourly"
"124",54,"CA","Toronto","casino europe","Casino",1,"12hourly"
"125",54,"CA","Toronto","casino for sale","Casino",1,"12hourly"
"126",54,"CA","Toronto","casino free bonus","Casino",1,"12hourly"
"127",54,"CA","Toronto","casino game online uk","Casino",1,"12hourly"
"128",54,"CA","Toronto","casino games","Casino",1,"12hourly"
"129",54,"CA","Toronto","casino games uk","Casino",1,"12hourly"
"130",54,"CA","Toronto","casino no deposit","Casino",1,"12hourly"
"131",54,"CA","Toronto","casino no deposit sign up bonus","Casino",1,"12hourly"
"132",54,"CA","Toronto","casino offers","Casino",1,"12hourly"
"133",54,"CA","Toronto","casino online","Casino",1,"12hourly"
"134",54,"CA","Toronto","casino online demo","Casino",1,"12hourly"
"135",54,"CA","Toronto","casino online desposit bonus uk","Casino",1,"12hourly"
"136",54,"CA","Toronto","casino online play in uk","Casino",1,"12hourly"
"137",54,"CA","Toronto","casino online roulette","Casino",1,"12hourly"
"138",54,"CA","Toronto","casino promotion","Casino",1,"12hourly"
"139",54,"CA","Toronto","casino registration bonus","Casino",1,"12hourly"
"140",54,"CA","Toronto","casino reload bonus","Casino",1,"12hourly"
"141",54,"CA","Toronto","casino rewards bonus","Casino",1,"12hourly"
"142",54,"CA","Toronto","casino roulette","Casino",1,"12hourly"
"143",54,"CA","Toronto","casino roulette free","Casino",1,"12hourly"
"144",54,"CA","Toronto","casino roulette online","Casino",1,"12hourly"
"145",54,"CA","Toronto","casino sign up bonus","Casino",1,"12hourly"
"146",54,"CA","Toronto","casino sign up bonus no deposit","Casino",1,"12hourly"
"147",54,"CA","Toronto","casino sign up bonuses","Casino",1,"12hourly"
"148",54,"CA","Toronto","casino slots bonus","Casino",1,"12hourly"
"149",54,"CA","Toronto","casino slots uk","Casino",1,"12hourly"
"150",54,"CA","Toronto","casino software download","Casino",1,"12hourly"
"151",54,"CA","Toronto","casino top games","Casino",1,"12hourly"
"152",54,"CA","Toronto","casino uk online","Casino",1,"12hourly"
"153",54,"CA","Toronto","casino websites uk","Casino",1,"12hourly"
"154",54,"CA","Toronto","casino welcome bonus","Casino",1,"12hourly"
"155",54,"CA","Toronto","casino with free bonus","Casino",1,"12hourly"
"156",54,"CA","Toronto","casinos slots","Casino",1,"12hourly"
"157",54,"CA","Toronto","cbs against the spread","Betting",1,"12hourly"
"158",54,"CA","Toronto","cbs basketball picks","Betting",1,"12hourly"
"159",54,"CA","Toronto","cbs college football expert picks","Betting",1,"12hourly"
"160",54,"CA","Toronto","cbs expert nfl picks","Betting",1,"12hourly"
"161",54,"CA","Toronto","cbs expert picks ncaa","Betting",1,"12hourly"
"162",54,"CA","Toronto","cbs expert picks ncaa basketball","Betting",1,"12hourly"
"163",54,"CA","Toronto","cbs expert picks ncaa football","Betting",1,"12hourly"
"164",54,"CA","Toronto","cbs football odds","Betting",1,"12hourly"
"165",54,"CA","Toronto","cbs football picks","Betting",1,"12hourly"
"166",54,"CA","Toronto","cbs nba expert picks","Betting",1,"12hourly"
"167",54,"CA","Toronto","cbs nba pick","Betting",1,"12hourly"
"168",54,"CA","Toronto","cbs nba picks","Betting",1,"12hourly"
"169",54,"CA","Toronto","cbs nfl expert picks","Betting",1,"12hourly"
"170",54,"CA","Toronto","cbs nfl odds","Betting",1,"12hourly"
"171",54,"CA","Toronto","cbs nfl pick","Betting",1,"12hourly"
"172",54,"CA","Toronto","cbs nfl picks","Betting",1,"12hourly"
"173",54,"CA","Toronto","cbs nhl expert picks","Betting",1,"12hourly"
"174",54,"CA","Toronto","cbs nhl pick","Betting",1,"12hourly"
"175",54,"CA","Toronto","cbs nhl picks","Betting",1,"12hourly"
"176",54,"CA","Toronto","cbs picks nba","Betting",1,"12hourly"
"177",54,"CA","Toronto","cbs picks nfl","Betting",1,"12hourly"
"178",54,"CA","Toronto","cbs picks nhl","Betting",1,"12hourly"
"179",54,"CA","Toronto","cbs pro football picks","Betting",1,"12hourly"
"180",54,"CA","Toronto","cbs sports against the spread","Betting",1,"12hourly"
"181",54,"CA","Toronto","cbs sports nfl odds","Betting",1,"12hourly"
"182",54,"CA","Toronto","cbs sports nfl picks","Betting",1,"12hourly"
"183",54,"CA","Toronto","cbs sports nfl picks against the spread","Betting",1,"12hourly"
"184",54,"CA","Toronto","cbs sports picks against the spread","Betting",1,"12hourly"
"185",54,"CA","Toronto","cfb lines","Betting",1,"12hourly"
"186",54,"CA","Toronto","cfb odds","Betting",1,"12hourly"
"187",54,"CA","Toronto","chessmate demo slot games","Casino",1,"12hourly"
"188",54,"CA","Toronto","chests of plenty online game","Casino",1,"12hourly"
"189",54,"CA","Toronto","clemson fsu spread","Betting",1,"12hourly"
"190",54,"CA","Toronto","college betting lines","Betting",1,"12hourly"
"191",54,"CA","Toronto","college bowl lines","Betting",1,"12hourly"
"192",54,"CA","Toronto","college football","Betting",1,"12hourly"
"193",54,"CA","Toronto","college football betting lines","Betting",1,"12hourly"
"194",54,"CA","Toronto","college football bowl spreads","Betting",1,"12hourly"
"195",54,"CA","Toronto","college football line","Betting",1,"12hourly"
"196",54,"CA","Toronto","college football lines","Betting",1,"12hourly"
"197",54,"CA","Toronto","college football odds","Betting",1,"12hourly"
"198",54,"CA","Toronto","college football picks against the spread week 8","Betting",1,"12hourly"
"199",54,"CA","Toronto","college football spreads","Betting",1,"12hourly"
"200",54,"CA","Toronto","college point spreads","Betting",1,"12hourly"
"201",54,"CA","Toronto","college-football","Betting",1,"12hourly"
"202",54,"CA","Toronto","colts line","Betting",1,"12hourly"
"203",54,"CA","Toronto","consensus picks nba","Betting",1,"12hourly"
"204",54,"CA","Toronto","consensus picks nfl","Betting",1,"12hourly"
"205",54,"CA","Toronto","consensus picks nhl","Betting",1,"12hourly"
"206",54,"CA","Toronto","covers com nba odds","Betting",1,"12hourly"
"207",54,"CA","Toronto","covers com ncaab","Betting",1,"12hourly"
"208",54,"CA","Toronto","covers com nfl odds","Betting",1,"12hourly"
"209",54,"CA","Toronto","covers com nhl odds","Betting",1,"12hourly"
"210",54,"CA","Toronto","covers consensus nba","Betting",1,"12hourly"
"211",54,"CA","Toronto","covers consensus nfl","Betting",1,"12hourly"
"212",54,"CA","Toronto","covers consensus nhl","Betting",1,"12hourly"
"213",54,"CA","Toronto","covers nba odds","Betting",1,"12hourly"
"214",54,"CA","Toronto","covers ncaab matchups","Betting",1,"12hourly"
"215",54,"CA","Toronto","covers nfl odds","Betting",1,"12hourly"
"216",54,"CA","Toronto","covers nhl odds","Betting",1,"12hourly"
"217",54,"CA","Toronto","covers.com nba forum","Betting",1,"12hourly"
"218",54,"CA","Toronto","covers.com nba matchups","Betting",1,"12hourly"
"219",54,"CA","Toronto","covers.com nfl forum","Betting",1,"12hourly"
"220",54,"CA","Toronto","covers.com nfl matchups","Betting",1,"12hourly"
"221",54,"CA","Toronto","covers.com nhl forum","Betting",1,"12hourly"
"222",54,"CA","Toronto","covers.com nhl matchups","Betting",1,"12hourly"
"223",54,"CA","Toronto","credit cards casino deposits","Casino",1,"12hourly"
"224",54,"CA","Toronto","crown gems slot game","Casino",1,"12hourly"
"225",54,"CA","Toronto","crown gems slots","Casino",1,"12hourly"
"226",54,"CA","Toronto","crown jewels slot machine","Casino",1,"12hourly"
"227",54,"CA","Toronto","daily 49s lottery","Lottery",1,"12hourly"
"228",54,"CA","Toronto","daily lines college football","Betting",1,"12hourly"
"229",54,"CA","Toronto","daily millions","Lottery",1,"12hourly"
"230",54,"CA","Toronto","deal or no deal bingo","Bingo",1,"12hourly"
"231",54,"CA","Toronto","deal or no deal jackpot","Casino",1,"12hourly"
"232",54,"CA","Toronto","deep sea slots","Casino",1,"12hourly"
"233",54,"CA","Toronto","deep sea treasure slots","Casino",1,"12hourly"
"234",54,"CA","Toronto","demo casino slots","Casino",1,"12hourly"
"235",54,"CA","Toronto","demo play roulette","Casino",1,"12hourly"
"236",54,"CA","Toronto","demo roulette","Casino",1,"12hourly"
"237",54,"CA","Toronto","demo slot games","Casino",1,"12hourly"
"238",54,"CA","Toronto","demo slots","Casino",1,"12hourly"
"239",54,"CA","Toronto","demo slots free","Casino",1,"12hourly"
"240",54,"CA","Toronto","demo slots games","Casino",1,"12hourly"
"241",54,"CA","Toronto","deposit bonus for casino","Casino",1,"12hourly"
"242",54,"CA","Toronto","download casino","Casino",1,"12hourly"
"243",54,"CA","Toronto","download casino games","Casino",1,"12hourly"
"244",54,"CA","Toronto","download casino online","Casino",1,"12hourly"
"245",54,"CA","Toronto","download casino software","Casino",1,"12hourly"
"246",54,"CA","Toronto","download online casino","Casino",1,"12hourly"
"247",54,"CA","Toronto","download poker","Poker",1,"12hourly"
"248",54,"CA","Toronto","eagles vs new england","Betting",1,"12hourly"
"249",54,"CA","Toronto","espn go nba picks","Betting",1,"12hourly"
"250",54,"CA","Toronto","espn go nfl picks","Betting",1,"12hourly"
"251",54,"CA","Toronto","espn go nhl picks","Betting",1,"12hourly"
"252",54,"CA","Toronto","european online roulette","Casino",1,"12hourly"
"253",54,"CA","Toronto","european roulette","Casino",1,"12hourly"
"254",54,"CA","Toronto","european roulette online","Casino",1,"12hourly"
"255",54,"CA","Toronto","europiean roulette","Casino",1,"12hourly"
"256",54,"CA","Toronto","expert football tips","Betting",1,"12hourly"
"257",54,"CA","Toronto","expert nba picks","Betting",1,"12hourly"
"258",54,"CA","Toronto","expert nfl picks","Betting",1,"12hourly"
"259",54,"CA","Toronto","expert nhl picks","Betting",1,"12hourly"
"260",54,"CA","Toronto","expert picks against the spread","Betting",1,"12hourly"
"261",54,"CA","Toronto","expert picks against the spread nfl","Betting",1,"12hourly"
"262",54,"CA","Toronto","experts nba picks","Betting",1,"12hourly"
"263",54,"CA","Toronto","experts nfl picks","Betting",1,"12hourly"
"264",54,"CA","Toronto","experts nhl picks","Betting",1,"12hourly"
"265",54,"CA","Toronto","football","Betting",1,"12hourly"
"266",54,"CA","Toronto","football bet","Betting",1,"12hourly"
"267",54,"CA","Toronto","football bet tips and predictions","Betting",1,"12hourly"
"268",54,"CA","Toronto","football betting","Betting",1,"12hourly"
"269",54,"CA","Toronto","football betting lines","Betting",1,"12hourly"
"270",54,"CA","Toronto","football betting odds","Betting",1,"12hourly"
"271",54,"CA","Toronto","football betting tips for this weekend","Betting",1,"12hourly"
"272",54,"CA","Toronto","football betting tips forum","Betting",1,"12hourly"
"273",54,"CA","Toronto","football gambling tips","Betting",1,"12hourly"
"274",54,"CA","Toronto","football lines","Betting",1,"12hourly"
