"","client","country","location","keyword","category","tracking","frequency"
"1",59,"US","New York","888 casino nj","casino",1,"daily"
"2",59,"US","New York","888 casino review","casino",1,"daily"
"3",59,"US","New York","888 nj review","casino",1,"daily"
"4",59,"US","New York","888 online casino review","casino",1,"daily"
"5",59,"US","New York","888 online casino reviews","casino",1,"daily"
"6",59,"US","New York","888 review","casino",1,"daily"
"7",59,"US","New York","888 reviews","casino",1,"daily"
"8",59,"US","New York","best online casino nj","generics",1,"daily"
"9",59,"US","New York","best online casino reviews","generics",1,"daily"
"10",59,"US","New York","best online casino reviews nj","generics",1,"daily"
"11",59,"US","New York","best online casinos reviews","generics",1,"daily"
"12",59,"US","New York","best rated online casinos","generics",1,"daily"
"13",59,"US","New York","best rated online casinos nj","generics",1,"daily"
"14",59,"US","New York","betfair casino nj","casino",1,"daily"
"15",59,"US","New York","betfair casino review","casino",1,"daily"
"16",59,"US","New York","betfair casino reviews","casino",1,"daily"
"17",59,"US","New York","betfair nj","casino",1,"daily"
"18",59,"US","New York","betfair nj review","casino",1,"daily"
"19",59,"US","New York","betfair nj reviews","casino",1,"daily"
"20",59,"US","New York","betfair online casino review","casino",1,"daily"
"21",59,"US","New York","betfair online casino reviews","casino",1,"daily"
"22",59,"US","New York","betfair review","casino",0,"daily"
"23",59,"US","New York","betfair reviews","casino",1,"daily"
"24",59,"US","New York","borgata casino online","casino",1,"daily"
"25",59,"US","New York","borgata online casino","casino",1,"daily"
"26",59,"US","New York","borgata online casino review","casino",1,"daily"
"27",59,"US","New York","caesars casino online","casino",1,"daily"
"28",59,"US","New York","caesars casino online nj","casino",1,"daily"
"29",59,"US","New York","caesars casino online review","casino",1,"daily"
"30",59,"US","New York","caesars online casino","casino",1,"daily"
"31",59,"US","New York","caesars online casino nj","casino",1,"daily"
"32",59,"US","New York","caesars online casino review","casino",1,"daily"
"33",59,"US","New York","casino nj online","generics",1,"daily"
"34",59,"US","New York","casino online nj","generics",1,"daily"
"35",59,"US","New York","casino online reviews","generics",1,"daily"
"36",59,"US","New York","casinos online nj","generics",1,"daily"
"37",59,"US","New York","ceasars online","casino",1,"daily"
"38",59,"US","New York","golden nugget nj online casino","casino",1,"daily"
"39",59,"US","New York","golden nugget nj online casino review","casino",1,"daily"
"40",59,"US","New York","golden nugget nj online casino reviews","casino",1,"daily"
"41",59,"US","New York","golden nugget online casino","casino",1,"daily"
"42",59,"US","New York","golden nugget online casino nj","casino",1,"daily"
"43",59,"US","New York","golden nugget online casino review","casino",1,"daily"
"44",59,"US","New York","golden nugget online casino reviews","casino",1,"daily"
"45",59,"US","New York","harrahs casino nj online","casino",1,"daily"
"46",59,"US","New York","harrahs casino online","casino",1,"daily"
"47",59,"US","New York","harrahs nj online","casino",1,"daily"
"48",59,"US","New York","harrahs nj online casino","casino",1,"daily"
"49",59,"US","New York","harrahs nj online casino review","casino",1,"daily"
"50",59,"US","New York","harrahs online","casino",1,"daily"
"51",59,"US","New York","harrahs online casino","casino",1,"daily"
"52",59,"US","New York","harrahs online casino review","casino",1,"daily"
"53",59,"US","New York","harrahs online casino reviews","casino",1,"daily"
"54",59,"US","New York","licensed nj online casinos","casino",1,"daily"
"55",59,"US","New York","mohegan casino nj","casino",1,"daily"
"56",59,"US","New York","mohegan casino nj online","casino",1,"daily"
"57",59,"US","New York","mohegan casino online","casino",1,"daily"
"58",59,"US","New York","mohegan casino online nj","casino",1,"daily"
"59",59,"US","New York","mohegan casino online review","casino",1,"daily"
"60",59,"US","New York","mohegan casino online reviews","casino",1,"daily"
"61",59,"US","New York","mohegan sun casino nj","casino",1,"daily"
"62",59,"US","New York","mohegan sun casino nj online","casino",1,"daily"
"63",59,"US","New York","mohegan sun casino online","casino",1,"daily"
"64",59,"US","New York","mohegan sun casino online nj","casino",1,"daily"
"65",59,"US","New York","mohegan sun casino online review","casino",1,"daily"
"66",59,"US","New York","mohegan sun casino online reviews","casino",1,"daily"
"67",59,"US","New York","mohegan sun casino review","casino",1,"daily"
"68",59,"US","New York","new jersey casino online","generics",1,"daily"
"69",59,"US","New York","new jersey online casinos","generics",1,"daily"
"70",59,"US","New York","new jersey online gambling","generics",1,"daily"
"71",59,"US","New York","new jersey online gaming","generics",1,"daily"
"72",59,"US","New York","new jersey online poker rooms","generics",1,"daily"
"73",59,"US","New York","new jersey poker online","generics",1,"daily"
"74",59,"US","New York","new online casinos","generics",0,"daily"
"75",59,"US","New York","nj casino","generics",1,"daily"
"76",59,"US","New York","nj casino online","generics",1,"daily"
"77",59,"US","New York","nj casinos online","generics",1,"daily"
"78",59,"US","New York","nj gambling","generics",1,"daily"
"79",59,"US","New York","nj online casino","generics",1,"daily"
"80",59,"US","New York","nj online casino list","generics",1,"daily"
"81",59,"US","New York","nj online casino signup bonus","generics",1,"daily"
"82",59,"US","New York","nj online casinos","generics",1,"daily"
"83",59,"US","New York","nj online gambling","generics",1,"daily"
"84",59,"US","New York","nj online gaming","generics",1,"daily"
"85",59,"US","New York","nj online slots","generics",1,"daily"
"86",59,"US","New York","nj slots online","generics",1,"daily"
"87",59,"US","New York","njonline","generics",1,"daily"
"88",59,"US","New York","online casino new jersey","generics",1,"daily"
"89",59,"US","New York","online casino nj","generics",1,"daily"
"90",59,"US","New York","online casino reviews","generics",0,"daily"
"91",59,"US","New York","online casino slots nj","generics",1,"daily"
"92",59,"US","New York","online casinos in new jersey","generics",1,"daily"
"93",59,"US","New York","online casinos nj","generics",1,"daily"
"94",59,"US","New York","online casinos reviews","generics",0,"daily"
"95",59,"US","New York","online gambling casinos","generics",1,"daily"
"96",59,"US","New York","online gambling in new jersey","generics",1,"daily"
"97",59,"US","New York","online gambling in nj","generics",1,"daily"
"98",59,"US","New York","online gambling new jersey","generics",0,"daily"
"99",59,"US","New York","online gambling nj","generics",1,"daily"
"100",59,"US","New York","online gambling reviews","generics",1,"daily"
"101",59,"US","New York","online nj casino","generics",1,"daily"
"102",59,"US","New York","online slots nj","generics",1,"daily"
"103",59,"US","New York","tropicana casino online review","casino",1,"daily"
